*********************************************************************
Inicio da listagem dos token


| Token: inicioprograma | Lexema: iniciop | (L1 - C0 )
Empilhado: <termo>

Desempilhado: <termo>

Empilhado: <proximo_fator>

Empilhado: <fator>

Desempilhado: <fator>

Empilhado: id

**************Dois Terminais*****************

Desempilhado: id

Desempilhado: id

*********************************************

Desempilhado: <proximo_fator>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

Desempilhado: <proximo_termo>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

**************Dois Terminais*****************

Desempilhado: )

Desempilhado: )

*********************************************

**************Dois Terminais*****************

Desempilhado: entao

Desempilhado: entao

*********************************************

Desempilhado: <declaracao_recursiva>

Empilhado: <declaracao_recursiva>

Empilhado: ;

Empilhado: <declaracao>

Desempilhado: <declaracao>

Empilhado: <expressao>

Empilhado: escreva

**************Dois Terminais*****************

Desempilhado: escreva

Desempilhado: escreva

*********************************************

Desempilhado: <expressao>

Empilhado: <proximo_termo>

Empilhado: <termo>

Desempilhado: <termo>

Empilhado: <proximo_fator>

Empilhado: <fator>

Desempilhado: <fator>

Empilhado: )

Empilhado: <expressao>

Empilhado: (

**************Dois Terminais*****************

Desempilhado: (

Desempilhado: (

*********************************************

Desempilhado: <expressao>

Empilhado: <proximo_termo>

Empilhado: <termo>

Desempilhado: <termo>

Empilhado: <proximo_fator>

Empilhado: <fator>

Desempilhado: <fator>

Empilhado: numero

**************Dois Terminais*****************

Desempilhado: numero

Desempilhado: numero

*********************************************

Desempilhado: <proximo_fator>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

Desempilhado: <proximo_termo>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

**************Dois Terminais*****************

Desempilhado: )

Desempilhado: )

*********************************************

Desempilhado: <proximo_fator>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

Desempilhado: <proximo_termo>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

**************Dois Terminais*****************

Desempilhado: ;

Desempilhado: ;

*********************************************

Desempilhado: <declaracao_recursiva>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

Desempilhado: <senao>

Empilhado: <declaracao_recursiva>

Empilhado: senao

**************Dois Terminais*****************

Desempilhado: senao

Desempilhado: senao

*********************************************

Desempilhado: <declaracao_recursiva>

Empilhado: <declaracao_recursiva>

Empilhado: ;

Empilhado: <declaracao>

Desempilhado: <declaracao>

Empilhado: <expressao>

Empilhado: escreva

**************Dois Terminais*****************

Desempilhado: escreva

Desempilhado: escreva

*********************************************

Desempilhado: <expressao>

Empilhado: <proximo_termo>

Empilhado: <termo>

Desempilhado: <termo>

Empilhado: <proximo_fator>

Empilhado: <fator>

Desempilhado: <fator>

Empilhado: )

Empilhado: <expressao>

Empilhado: (

**************Dois Terminais*****************

Desempilhado: (

Desempilhado: (

*********************************************

Desempilhado: <expressao>

Empilhado: <proximo_termo>

Empilhado: <termo>

Desempilhado: <termo>

Empilhado: <proximo_fator>

Empilhado: <fator>

Desempilhado: <fator>

Empilhado: numero

**************Dois Terminais*****************

Desempilhado: numero

Desempilhado: numero

*********************************************

Desempilhado: <proximo_fator>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

Desempilhado: <proximo_termo>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

**************Dois Terminais*****************

Desempilhado: )

Desempilhado: )

*********************************************

Desempilhado: <proximo_fator>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

Desempilhado: <proximo_termo>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

**************Dois Terminais*****************

Desempilhado: ;

Desempilhado: ;

*********************************************

Desempilhado: <declaracao_recursiva>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

**************Dois Terminais*****************

Desempilhado: fimse

Desempilhado: fimse

*********************************************

**************Dois Terminais*****************

Desempilhado: ;

Desempilhado: ;

*********************************************

Desempilhado: <declaracao_recursiva>

Empilhado: <declaracao_recursiva>

Empilhado: ;

Empilhado: <declaracao>

Desempilhado: <declaracao>

Empilhado: fimse

Empilhado: <senao>

Empilhado: <declaracao_recursiva>

Empilhado: entao

Empilhado: <expressao_logica>

Empilhado: se

**************Dois Terminais*****************

Desempilhado: se

Desempilhado: se

*********************************************

Desempilhado: <expressao_logica>

Empilhado: )

Empilhado: <expressao>

Empilhado: <operador_logico>

Empilhado: <expressao>

Empilhado: (

**************Dois Terminais*****************

Desempilhado: (

Desempilhado: (

*********************************************

Desempilhado: <expressao>

Empilhado: <proximo_termo>

Empilhado: <termo>

Desempilhado: <termo>

Empilhado: <proximo_fator>

Empilhado: <fator>

Desempilhado: <fator>

Empilhado: id

**************Dois Terminais*****************

Desempilhado: id

Desempilhado: id

*********************************************

Desempilhado: <proximo_fator>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

Desempilhado: <proximo_termo>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

Desempilhado: <operador_logico>

Empilhado: ==

**************Dois Terminais*****************

Desempilhado: ==

Desempilhado: ==

*********************************************

Desempilhado: <expressao>

Empilhado: <proximo_termo>

Empilhado: <termo>

Desempilhado: <termo>

Empilhado: <proximo_fator>

Empilhado: <fator>

Desempilhado: <fator>

Empilhado: id

**************Dois Terminais*****************

Desempilhado: id

Desempilhado: id

*********************************************

Desempilhado: <proximo_fator>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

Desempilhado: <proximo_termo>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

**************Dois Terminais*****************

Desempilhado: )

Desempilhado: )

*********************************************

**************Dois Terminais*****************

Desempilhado: entao

Desempilhado: entao

*********************************************

Desempilhado: <declaracao_recursiva>

Empilhado: <declaracao_recursiva>

Empilhado: ;

Empilhado: <declaracao>

Desempilhado: <declaracao>

Empilhado: <expressao>

Empilhado: escreva

**************Dois Terminais*****************

Desempilhado: escreva

Desempilhado: escreva

*********************************************

Desempilhado: <expressao>

Empilhado: <proximo_termo>

Empilhado: <termo>

Desempilhado: <termo>

Empilhado: <proximo_fator>

Empilhado: <fator>

Desempilhado: <fator>

Empilhado: )

Empilhado: <expressao>

Empilhado: (

**************Dois Terminais*****************

Desempilhado: (

Desempilhado: (

*********************************************

Desempilhado: <expressao>

Empilhado: <proximo_termo>

Empilhado: <termo>

Desempilhado: <termo>

Empilhado: <proximo_fator>

Empilhado: <fator>

Desempilhado: <fator>

Empilhado: numero

**************Dois Terminais*****************

Desempilhado: numero

Desempilhado: numero

*********************************************

Desempilhado: <proximo_fator>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

Desempilhado: <proximo_termo>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

**************Dois Terminais*****************

Desempilhado: )

Desempilhado: )

*********************************************

Desempilhado: <proximo_fator>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

Desempilhado: <proximo_termo>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

**************Dois Terminais*****************

Desempilhado: ;

Desempilhado: ;

*********************************************

Desempilhado: <declaracao_recursiva>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

Desempilhado: <senao>

Empilhado: <declaracao_recursiva>

Empilhado: senao

**************Dois Terminais*****************

Desempilhado: senao

Desempilhado: senao

*********************************************

Desempilhado: <declaracao_recursiva>

Empilhado: <declaracao_recursiva>

Empilhado: ;

Empilhado: <declaracao>

Desempilhado: <declaracao>

Empilhado: <expressao>

Empilhado: escreva

**************Dois Terminais*****************

Desempilhado: escreva

Desempilhado: escreva

*********************************************

Desempilhado: <expressao>

Empilhado: <proximo_termo>

Empilhado: <termo>

Desempilhado: <termo>

Empilhado: <proximo_fator>

Empilhado: <fator>

Desempilhado: <fator>

Empilhado: )

Empilhado: <expressao>

Empilhado: (

**************Dois Terminais*****************

Desempilhado: (

Desempilhado: (

*********************************************

Desempilhado: <expressao>

Empilhado: <proximo_termo>

Empilhado: <termo>

Desempilhado: <termo>

Empilhado: <proximo_fator>

Empilhado: <fator>

Desempilhado: <fator>

Empilhado: numero

**************Dois Terminais*****************

Desempilhado: numero

Desempilhado: numero

*********************************************

Desempilhado: <proximo_fator>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

Desempilhado: <proximo_termo>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

**************Dois Terminais*****************

Desempilhado: )

Desempilhado: )

*********************************************

Desempilhado: <proximo_fator>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

Desempilhado: <proximo_termo>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

**************Dois Terminais*****************

Desempilhado: ;

Desempilhado: ;

*********************************************

Desempilhado: <declaracao_recursiva>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

**************Dois Terminais*****************

Desempilhado: fimse

Desempilhado: fimse

*********************************************

**************Dois Terminais*****************

Desempilhado: ;

Desempilhado: ;

*********************************************

Desempilhado: <declaracao_recursiva>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

**************Dois Terminais*****************

Desempilhado: fimse

Desempilhado: fimse

*********************************************

**************Dois Terminais*****************

Desempilhado: ;

Desempilhado: ;

*********************************************

Desempilhado: <declaracao_recursiva>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

Desempilhado: <senao>

Empilhado: <declaracao_recursiva>

Empilhado: senao

**************Dois Terminais*****************

Desempilhado: senao

Desempilhado: senao

*********************************************

Desempilhado: <declaracao_recursiva>

Empilhado: <declaracao_recursiva>

Empilhado: ;

Empilhado: <declaracao>

Desempilhado: <declaracao>

Empilhado: <expressao>

Empilhado: escreva

**************Dois Terminais*****************

Desempilhado: escreva

Desempilhado: escreva

*********************************************

Desempilhado: <expressao>

Empilhado: <proximo_termo>

Empilhado: <termo>

Desempilhado: <termo>

Empilhado: <proximo_fator>

Empilhado: <fator>

Desempilhado: <fator>

Empilhado: )

Empilhado: <expressao>

Empilhado: (

**************Dois Terminais*****************

Desempilhado: (

Desempilhado: (

*********************************************

Desempilhado: <expressao>

Empilhado: <proximo_termo>

Empilhado: <termo>

Desempilhado: <termo>

Empilhado: <proximo_fator>

Empilhado: <fator>

Desempilhado: <fator>

Empilhado: numero

**************Dois Terminais*****************

Desempilhado: numero

Desempilhado: numero

*********************************************

Desempilhado: <proximo_fator>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

Desempilhado: <proximo_termo>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

**************Dois Terminais*****************

Desempilhado: )

Desempilhado: )

*********************************************

Desempilhado: <proximo_fator>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

Desempilhado: <proximo_termo>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

**************Dois Terminais*****************

Desempilhado: ;

Desempilhado: ;

*********************************************

Desempilhado: <declaracao_recursiva>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

**************Dois Terminais*****************

Desempilhado: fimse

Desempilhado: fimse

*********************************************

**************Dois Terminais*****************

Desempilhado: ;

Desempilhado: ;

*********************************************

Desempilhado: <declaracao_recursiva>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

Desempilhado: <senao>

Empilhado: <declaracao_recursiva>

Empilhado: senao

**************Dois Terminais*****************

Desempilhado: senao

Desempilhado: senao

*********************************************

Desempilhado: <declaracao_recursiva>

Empilhado: <declaracao_recursiva>

Empilhado: ;

Empilhado: <declaracao>

Desempilhado: <declaracao>

Empilhado: <expressao>

Empilhado: escreva

**************Dois Terminais*****************

Desempilhado: escreva

Desempilhado: escreva

*********************************************

Desempilhado: <expressao>

Empilhado: <proximo_termo>

Empilhado: <termo>

Desempilhado: <termo>

Empilhado: <proximo_fator>

Empilhado: <fator>

Desempilhado: <fator>

Empilhado: )

Empilhado: <expressao>

Empilhado: (

**************Dois Terminais*****************

Desempilhado: (

Desempilhado: (

*********************************************

Desempilhado: <expressao>

Empilhado: <proximo_termo>

Empilhado: <termo>

Desempilhado: <termo>

Empilhado: <proximo_fator>

Empilhado: <fator>

Desempilhado: <fator>

Empilhado: numero

**************Dois Terminais*****************

Desempilhado: numero

Desempilhado: numero

*********************************************

Desempilhado: <proximo_fator>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

Desempilhado: <proximo_termo>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

**************Dois Terminais*****************

Desempilhado: )

Desempilhado: )

*********************************************

Desempilhado: <proximo_fator>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

Desempilhado: <proximo_termo>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

**************Dois Terminais*****************

Desempilhado: ;

Desempilhado: ;

*********************************************

Desempilhado: <declaracao_recursiva>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

**************Dois Terminais*****************

Desempilhado: fimse

Desempilhado: fimse

*********************************************

**************Dois Terminais*****************

Desempilhado: ;

Desempilhado: ;

*********************************************

Desempilhado: <declaracao_recursiva>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

Desempilhado: <senao>

Empilhado: <declaracao_recursiva>

Empilhado: senao

**************Dois Terminais*****************

Desempilhado: senao

Desempilhado: senao

*********************************************

Desempilhado: <declaracao_recursiva>

Empilhado: <declaracao_recursiva>

Empilhado: ;

Empilhado: <declaracao>

Desempilhado: <declaracao>

Empilhado: <expressao>

Empilhado: escreva

**************Dois Terminais*****************

Desempilhado: escreva

Desempilhado: escreva

*********************************************

Desempilhado: <expressao>

Empilhado: <proximo_termo>

Empilhado: <termo>

Desempilhado: <termo>

Empilhado: <proximo_fator>

Empilhado: <fator>

Desempilhado: <fator>

Empilhado: )

Empilhado: <expressao>

Empilhado: (

**************Dois Terminais*****************

Desempilhado: (

Desempilhado: (

*********************************************

Desempilhado: <expressao>

Empilhado: <proximo_termo>

Empilhado: <termo>

Desempilhado: <termo>

Empilhado: <proximo_fator>

Empilhado: <fator>

Desempilhado: <fator>

Empilhado: numero

**************Dois Terminais*****************

Desempilhado: numero

Desempilhado: numero

*********************************************

Desempilhado: <proximo_fator>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

Desempilhado: <proximo_termo>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

**************Dois Terminais*****************

Desempilhado: )

Desempilhado: )

*********************************************

Desempilhado: <proximo_fator>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

Desempilhado: <proximo_termo>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

**************Dois Terminais*****************

Desempilhado: ;

Desempilhado: ;

*********************************************

Desempilhado: <declaracao_recursiva>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

**************Dois Terminais*****************

Desempilhado: fimse

Desempilhado: fimse

*********************************************

**************Dois Terminais*****************

Desempilhado: ;

Desempilhado: ;

*********************************************

Desempilhado: <declaracao_recursiva>

Empilhado: ?

********  Vazio  *****************************

Desempilhado: ?

**********************************************

**************Dois Terminais*****************

Desempilhado: fimprograma

Desempilhado: fimprograma

*********************************************
***************************************************
*     Analise Sintatica feita com sucesso!        *
*     2023-05-30                                  *
***************************************************


Fim Log da analise sintatica


*********************************************************************
*********************************************************************
Inicio Log da analise semantica
A variavel 'a' foi declarada
A variavel 'b' foi declarada
A variavel 'c' foi declarada
A variavel 'a' e um valor a ser lido
A variavel 'b' e um valor a ser lido
A variavel 'c' e um valor a ser lido


Fim Log da analise semantica
*********************************************************************
*********************************************************************


Inicio Codigo Intermediario
Inicio do codigo intermediario
_Var a
_Var b
_Var c
leia a
leia b
leia c
se  ( a + b > c ) entao
se  ( a + c > b ) entao
se  ( b + c > a ) entao
se  ( a == b ) entao
se  ( a == c ) entao
escreva 1
senao 
escreva 2
fimse 
senao 
se  ( a == c ) entao
escreva 2
senao 
escreva 3
fimse 
se  ( b == c ) entao
escreva 2
senao 
escreva 3
fimse 
fimse 
senao 
escreva 99
fimse 
senao 
escreva 99
fimse 
senao 
escreva 99
fimse 


Fim Codigo Intermediario
*********************************************************************
*********************************************************************


Inicio Log do Codigo Intermediario
Declaracao da variavel a
Declaracao da variavel b
Declaracao da variavel c
Comando de leitura da variavel  a
Comando de leitura da variavel  b
Comando de leitura da variavel  c
Reconhecido comando condicional (se entao) 
Reconhecido comando condicional (se entao) 
Reconhecido comando condicional (se entao) 
Reconhecido comando condicional (se entao) 
Reconhecido comando condicional (se entao) 
Comando para escrever em tela
Reconhecido complemento do comando condiconal (senao) 
Comando para escrever em tela
Reconhecido termino do comando condiconal (fimse) 
Reconhecido complemento do comando condiconal (senao) 
Reconhecido comando condicional (se entao) 
Comando para escrever em tela
Reconhecido complemento do comando condiconal (senao) 
Comando para escrever em tela
Reconhecido termino do comando condiconal (fimse) 
Reconhecido comando condicional (se entao) 
Comando para escrever em tela
Reconhecido complemento do comando condiconal (senao) 
Comando para escrever em tela
Reconhecido termino do comando condiconal (fimse) 
Reconhecido termino do comando condiconal (fimse) 
Reconhecido complemento do comando condiconal (senao) 
Comando para escrever em tela
Reconhecido termino do comando condiconal (fimse) 
Reconhecido complemento do comando condiconal (senao) 
Comando para escrever em tela
Reconhecido termino do comando condiconal (fimse) 
Reconhecido complemento do comando condiconal (senao) 
Comando para escrever em tela
Reconhecido termino do comando condiconal (fimse) 


Fim Log do Codigo Intermediario
